Timestamp,Raw,Filtered,BPM
1768600476.245164,63487,61599.33206486371,67
1768600483.041207,51455,34734.68737376173,67
1768600483.572566,42815,24728.765909696314,112
1768600484.469395,45695,37096.099274564185,66
1768600485.3711538,42879,26953.49360473158,66
1768600485.8426409,37631,20806.330153274637,127
1768600486.2461078,24447,21652.32964310691,148
1768600486.676032,150000,40776.089521004455,139
1768600487.188767,-38337,42963.28436996223,117
1768600487.878438,136063,59378.30215551166,86
1768600488.465033,70975,49694.45940269351,102
1768600489.167043,39807,43622.5934641025,85
1768600496.418572,42623,21749.418714962794,72
1768600496.910744,-14209,22204.067225501316,121
1768600497.7148218,12991,22501.73047465684,74
1768600498.142266,-12481,28666.093864981547,140
1768600500.143693,-23041,32593.802023837376,123
1768600501.482603,-1025,64872.20155189701,44
1768600502.618048,18175,35998.5975629302,52
1768600508.680091,12287,15105.188229207992,78
1768600509.698137,-8001,15073.157796427067,58
1768600510.5469282,1407,15922.051991953955,70
1768600511.324738,-39041,17136.848064178073,77
1768600512.276808,27775,34173.079964508346,63
1768600513.2634182,1727,17585.868367870837,60
1768600514.163523,-1025,19066.485870282268,66
1768600514.5843709,6399,23106.105108249347,142
1768600515.364376,60095,34209.01239770534,76
1768600515.931392,7167,23655.773589827626,105
1768600516.55191,58687,20804.581185763243,96
1768600516.989622,55231,70949.7261601189,137
1768600517.908399,-9025,29596.19814635054,65
1768600518.721924,13695,25588.881641080887,73
1768600519.659051,23167,42763.99560044859,64
1768600520.5089312,-21633,19930.088162573353,70
1768600524.5642922,-6785,20035.660570562824,127
1768600525.236622,47295,32776.308437961074,89
1768600525.8802419,23871,30770.665603338697,93
1768600526.872641,-7937,17333.9384238408,60
1768600527.308492,-10241,17892.587837577677,137
1768600527.736929,-38465,26652.27796600512,140
1768600528.818392,-4481,21791.881986953103,55
1768600529.538993,-19073,25352.278160569746,83
1768600530.5068622,-1,35601.83103896382,61
1768600531.306926,-6593,20751.537603481254,74
1768600531.994669,10303,25797.449440233024,87
1768600532.628762,-8833,19642.069646708587,94
1768600533.2017212,-14337,27773.110256585533,104
1768600533.768505,3263,21899.33855357299,105
1768600534.397281,-16513,26425.53273115809,95
1768600534.86359,-22721,29307.93501420348,128
1768600535.294026,40063,24994.19285052896,139
1768600535.82733,639,22106.921522752895,112
1768600536.891434,55231,21821.586127057093,56
1768600537.543724,40959,17481.682247201712,91
1768600538.426802,30847,18561.4894222267,67
1768600539.276723,53247,32923.18853501565,70
1768600540.250794,34879,31065.684719233443,61
1768600540.6866481,30783,31217.63897791136,137
1768600541.157713,46079,26232.24553703491,127
1768600541.6011672,47359,48231.80305527218,135
1768600542.0638888,-27969,24627.91704627486,129
1768600542.818291,43903,21607.71538855191,79
1768600543.627449,7743,21834.686877907738,74
1768600544.2265012,-16129,24894.561517283193,100
1768600544.9198132,-9665,49118.850987148275,86
1768600545.377585,-5185,19744.29232931087,131
1768600545.8279,-7105,19067.89610291631,133
1768600546.3761868,10495,19115.697126160147,109
1768600547.395217,-1793,20450.561926754726,58
1768600547.812947,53055,20026.38475569186,143
1768600548.218828,-11265,25281.293500386117,147
1768600548.8447318,-14785,24335.03596388186,95
1768600549.558111,8959,17413.813388035946,84
1768600549.964609,-10305,17358.10031680066,147
1768600550.402605,25599,18276.6355726457,137
1768600550.971453,18879,17473.08185178263,105
1768600551.9780962,-26561,21290.142094026814,59
1768600553.006075,18431,17691.116497048548,58
1768600554.068726,-8193,17305.35128190797,56
1768600554.964041,28863,17163.865260898252,67
1768600555.6594481,-10433,38094.09624243006,86
1768600556.564724,54975,26282.75140085767,66
1768600557.419468,-13185,24267.70794357706,70
1768600557.870898,-11457,18115.543709280446,132
1768600558.40599,-11521,17988.71815257216,112
1768600559.1636748,-5697,20119.59853386533,79
1768600559.840554,-12609,23942.895278930402,88
1768600560.611937,-24193,29171.56026212307,77
1768600561.426285,46527,35475.308653679145,73
1768600564.254729,-6977,20013.262033883675,65
1768600565.397413,-10625,21996.38326313884,52
1768600566.097712,48255,22493.896843923856,85
1768600566.974347,49151,21920.871002787597,68
1768600567.89603,-8321,26489.67923248352,65
1768600568.8009868,-19073,23758.412099783534,66
1768600569.645105,14015,26640.892220055863,71
1768600570.529414,-14785,33273.97597558589,67
1768600571.010981,-3905,16238.842054078043,124
1768600571.622943,39295,20831.0228749204,98
1768600572.21327,55359,30580.853294511355,101
1768600573.0606341,-6529,27739.519112319787,70
1768600573.9752982,-12609,33157.365741374335,65
1768600574.82817,-13057,25808.11219960753,70
1768600575.30063,60863,16840.471292199345,127
1768600575.716877,-513,35241.419594885614,144
1768600576.6627488,-9153,29860.50458852275,63
1768600577.5046241,-18049,22409.650960715484,71
1768600578.0041301,-21953,23365.63362278339,120
1768600578.515146,-12737,18693.027303227467,117
1768600579.438328,-2305,16317.547033858504,64
1768600580.1627011,-10689,16251.892721195525,82
1768600580.872179,-22337,44671.94108157677,84
1768600581.7806249,-21633,18994.993137115063,66
1768600582.268818,-12929,18560.426217342992,122
1768600582.924441,47487,34120.469253754396,91
1768600583.485534,-2817,20274.401129267433,106
1768600584.375114,-6977,21853.40401375219,67
1768600584.8190532,-10241,20050.126312277636,135
1768600585.2312949,-18625,18181.46127428248,145
1768600586.2001789,-4545,21853.964096057818,61
1768600586.828223,-9025,45232.11453026098,95
1768600587.743917,-12353,22555.24833214977,65
1768600588.797975,-19905,19154.43513781161,56
1768600589.546207,-11265,18121.426768148816,80
1768600590.103774,-8193,17743.30562174109,107
1768600591.0096672,42047,35933.00819336273,66
1768600591.430163,19327,20535.958026709337,142
1768600591.897384,-5121,23804.859969710746,128
1768600592.5606,1663,32650.035699427855,90
1768600593.512138,28735,39268.600818430335,63
1768600594.442162,12031,21455.57276191452,64
1768600595.181387,-150000,49912.99774710943,81
1768600596.2180932,-150000,47817.345065932284,57
1768600602.317336,51199,36252.21884216596,118
1768600603.234987,-5697,20073.565202885027,65
1768600603.89006,-19201,26360.66519636362,91
1768600604.772148,-49025,28365.251025381338,68
1768600605.623931,2175,26630.983083335133,70
1768600606.565969,44415,40874.75098982039,63
1768600607.376406,5567,21730.36631884626,74
1768600608.12445,-19969,23554.327898695727,80
1768600608.681535,-10113,40495.48937401373,107
1768600609.654439,25919,24038.748787566088,61
1768600610.5353742,34495,31074.795279741633,68
1768600611.069639,-23745,41020.567250031396,112
1768600611.972403,27327,18888.882624383612,66
1768600612.781301,-897,19177.282103861915,74
1768600613.308358,21887,19332.488099578593,113
1768600613.711047,-45825,23777.196934287058,148
1768600614.477953,41151,24286.62677487319,78
1768600615.0855181,-22657,30955.58884472509,98
1768600616.0249379,8575,20376.660750325023,63
1768600616.4383318,-16385,25546.810982798175,145
1768600616.8853078,-18881,20256.442330462243,134
1768600617.6724758,-11137,27615.56852231539,76
1768600618.148139,46591,29814.40925148315,126
1768600621.3706849,-8513,20151.295411820465,51
1768600621.854815,22399,27366.56046258181,123
